order_id,customer_id,customer_name,email,order_date,ship_date,region,channel,product_category,quantity,unit_price,discount_pct,order_status,payment_status,delivery_days,customer_age,postcode,Duplicate,DateValidation,,,,,,
O004357,C03352,Lina Nwosu,lina.nwosu3352@example.com,09/07/2026,12/07/2026,South,Store,Fashion,3,37,0,cancelled,refund_pending,3,45,UR1 1NU,1,FALSE,,,,,,
O003583,C03967,Amara Ali,amara.ali3967@example.com,05/07/2026,,North,Phone,Beauty,12,50,5,cancelled,refund_pending,7,44,L1 4TP,1,TRUE,,,,open,1478,
O001033,C01252,Hana Bello,hana.bello1252@example.com,18/07/2026,21/07/2026,South,Phone,Home,4,96,5,shipped,pending,3,64,YC7 5OF,1,FALSE,,,,shipped,5055,
O000480,C03307,Grace Ibrahim,grace.ibrahim3307@example.com,13/07/2026,14/07/2026,East,Web,Beauty,3,16,0,open,pending,1,18,BU1 8EK,1,FALSE,,,,delivered,1986,
O008475,C02477,Leo Hassan,leo.hassan2477@example.com,30/07/2026,03/08/2026,South,Phone,Beauty,9,17,5,shipped,paid,4,51,TO4 7YH,1,FALSE,,,,cancelled,1098,
O009285,C01561,Ella Green,ella.green1561@example.com,18/07/2026,24/07/2026,South,Web,Electronics,7,87,0,delivered,paid,6,38,ER2 7DL,1,FALSE,,,,returned,534,
O005140,C04517,Robert Ibrahim,robert.ibrahim4517@example.com,23/07/2026,30/07/2026,South,Store,Electronics,9,80,10,delivered,paid,7,34,K7 4XH,1,FALSE,,,,pending_review,59,
O001780,C02086,Zainab Mensah,zainab.mensah2086@example.com,01/07/2026,08/07/2026,South,Web,Electronics,11,107,15,delivered,paid,7,43,W5 6CV,1,FALSE,,,,,,
O003213,C01896,Grace Owusu,grace.owusu1896@example.com,23/07/2026,26/07/2026,East,Store,Beauty,8,70,0,delivered,paid,3,62,G8 1AU,1,FALSE,,,,,,
O009956,C04814,Chloe Owusu,chloe.owusu4814@example.com,17/07/2026,24/07/2026,East,Store,Electronics,8,272,15,shipped,paid,7,58,RR3 8QS,1,FALSE,,,,,,
O007515,C02783,Amara Farah,amara.farah2783@example.com,19/07/2026,22/07/2026,North,Phone,Electronics,12,273,20,open,pending,3,35,CF5 2LV,1,FALSE,,,,,,
O004086,C04247,Ben Bello,ben.bello4247@example.com,02/07/2026,,East,Web,Fashion,7,59,20,cancelled,refund_pending,4,54,P6 6HF,1,TRUE,,,,pending,1698,
O008867,C01565,Amina Owusu,amina.owusu1565@example.com,21/07/2026,27/07/2026,North,Phone,Home,12,33,0,cancelled,refund_pending,6,57,T2 8UW,1,FALSE,,,,paid,7180,
O005396,C02129,Liam Brown,liam.brown2129@example.com,16/07/2026,19/07/2026,West,Web,Beauty,6,64,20,open,pending,3,53,O9 4SW,1,FALSE,,,,refund_pending,1283,
O004856,C03321,Amina Reyes,amina.reyes3321@example.com,26/07/2026,02/08/2026,North,Phone,Fashion,12,42,0,delivered,paid,7,66,E6 4YA,1,FALSE,,,,failed,49,
O007696,C02869,Sara Okafor,,29/07/2026,03/08/2026,South,Phone,Home,4,50,10,shipped,paid,5,56,C7 3LY,1,FALSE,,,,,,
O007084,C05094,Kwame Ali,kwame.ali5094@example.com,03/07/2026,04/07/2026,West,Store,Fashion,8,44,20,delivered,paid,1,56,EA7 3OY,1,FALSE,,,,Nubmber of invalid shipped date,81,
O008957,C04772,Mary James,mary.james4772@example.com,17/07/2026,22/07/2026,South,Web,Beauty,9,34,10,shipped,paid,5,23,KX3 4BM,1,FALSE,,,,,,
O005614,C00136,Leo Reyes,,06/07/2026,09/07/2026,East,Web,Fashion,3,19,0,returned,refund_pending,3,52,Y4 9DH,1,FALSE,,,,,,
O000307,C02531,Yusuf Stone,yusuf.stone2531@example.com,03/07/2026,04/07/2026,South,Store,Fashion,11,41,15,delivered,paid,1,65,J2 6JE,1,FALSE,,,,,,
O001401,C01050,Nadia Bello,nadia.bello1050@example.com,20/07/2026,21/07/2026,East,Store,Beauty,4,45,5,returned,refund_pending,1,38,X5 3EY,1,FALSE,,,,,,
O005851,C03907,Robert Diallo,robert.diallo3907@example.com,16/07/2026,17/07/2026,South,Store,Home,12,21,20,delivered,paid,1,52,O2 3MH,1,FALSE,,,,,,
O002629,C03444,Marcus Bello,marcus.bello3444@example.com,20/07/2026,23/07/2026,West,Phone,Beauty,1,11,10,shipped,paid,3,39,JN6 3HW,1,FALSE,,,,,,
O001378,C04099,Rita Park,rita.park4099@example.com,09/07/2026,16/07/2026,South,Web,Fashion,5,,15,open,pending,7,27,M4 3YY,1,FALSE,,,,,,
O009888,C03685,Chen Mensah,chen.mensah3685@example.com,01/07/2026,05/07/2026,West,Web,Electronics,11,143,20,open,pending,4,68,OC7 9HV,1,FALSE,,,,,,
O005902,C05221,Fatima Yusuf,fatima.yusuf5221@example.com,23/07/2026,25/07/2026,West,Web,Electronics,7,66,0,open,failed,2,43,H1 4NS,1,FALSE,,,,,,
O005498,C04752,Ben Ade,ben.ade4752@example.com,08/07/2026,11/07/2026,North,Phone,Home,12,100,15,shipped,paid,3,24,RY6 6MH,1,FALSE,,,,,,
O000716,C02492,Chloe Bello,,24/07/2026,29/07/2026,West,Phone,Home,5,22,10,delivered,paid,5,52,W9 1JH,1,FALSE,,,,,,
O008697,C03075,Lina Mensah,lina.mensah3075@example.com,15/07/2026,20/07/2026,West,Store,Beauty,12,66,0,delivered,paid,5,27,E3 9LT,1,FALSE,,,,,,
O009319,C05457,Ben Baker,ben.baker5457@example.com,13/07/2026,14/07/2026,North,Web,Fashion,12,26,0,delivered,paid,1,23,RC9 7FF,1,FALSE,,,,,,
O003069,C03515,Chen Bello,chen.bello3515@example.com,28/07/2026,30/07/2026,North,Store,Fashion,12,59,0,delivered,paid,2,67,CA2 7TU,1,FALSE,,,,,,
O002953,C00168,Sara Li,sara.li168@example.com,19/07/2026,21/07/2026,South,Web,Beauty,3,68,0,shipped,paid,2,53,K9 2RM,1,FALSE,,,,,,
O001749,C03196,Lina Hassan,lina.hassan3196@example.com,20/07/2026,25/07/2026,East,Web,Fashion,9,32,0,shipped,pending,5,57,F9 3FT,1,FALSE,,,,,,
O001946,C01550,Omar Baker,omar.baker1550@example.com,05/07/2026,06/07/2026,East,Web,Electronics,10,108,15,shipped,paid,1,59,L9 9DY,1,FALSE,,,,,,
O009209,C01230,Chen Diallo,chen.diallo1230@example.com,26/07/2026,30/07/2026,North,Web,Home,12,91,0,cancelled,refund_pending,4,42,YH8 2VG,1,FALSE,,,,,,
O005808,C03894,Zainab James,zainab.james3894@example.com,03/07/2026,09/07/2026,West,Store,Beauty,12,17,0,delivered,paid,6,30,C8 1JU,1,FALSE,,,,,,
O004094,C02963,Nadia Li,nadia.li2963@example.com,22/07/2026,23/07/2026,East,Web,Home,11,87,15,delivered,paid,1,51,HV6 2TX,1,FALSE,,,,,,
O008498,C02537,Chen Hassan,chen.hassan2537@example.com,30/07/2026,04/08/2026,North,Store,Electronics,12,43,0,open,pending,5,61,WB9 7ME,1,FALSE,,,,,,
O005777,C00514,Ella Smith,ella.smith514@example.com,28/07/2026,01/08/2026,East,Store,Home,9,44,10,shipped,paid,4,50,S4 8MD,1,FALSE,,,,,,
O002532,C03916,Chloe Evans,chloe.evans3916@example.com,11/07/2026,12/07/2026,South,Web,Home,12,78,0,open,paid,1,41,H5 8MF,1,FALSE,,,,,,
O006311,C02374,Ella Osei,ella.osei2374@example.com,23/07/2026,24/07/2026,East,Phone,Home,10,111,15,shipped,paid,1,58,SW8 0VJ,1,FALSE,,,,,,
O003830,C03516,Chen Li,chen.li3516@example.com,01/07/2026,04/07/2026,North,Web,Home,12,70,0,shipped,paid,3,52,U8 2TB,1,FALSE,,,,,,
O000434,C00648,Helen Okafor,helen.okafor648@example.com,23/07/2026,28/07/2026,East,Store,Beauty,3,35,15,open,pending,5,65,GK9 3TN,1,FALSE,,,,,,
O007647,C04256,Sara Carter,sara.carter4256@example.com,18/07/2026,23/07/2026,East,Store,Home,7,50,0,shipped,paid,5,67,PS6 6RD,1,FALSE,,,,,,
O003479,C04016,Nadia Nwosu,nadia.nwosu4016@example.com,06/07/2026,08/07/2026,South,Store,Electronics,2,175,15,open,paid,2,40,H7 7NV,1,FALSE,,,,,,
O003299,C01071,Chloe Ade,chloe.ade1071@example.com,09/07/2026,13/07/2026,North,Store,Beauty,12,37,15,open,failed,4,67,D5 1PM,1,FALSE,,,,,,
O008574,C01071,Chloe Ade,chloe.ade1071@example.com,05/07/2026,10/07/2026,North,Store,Beauty,12,10,5,delivered,paid,5,40,D5 1PM,1,FALSE,,,,,,
O009936,C00924,Omar Cole,omar.cole924@example.com,24/07/2026,29/07/2026,West,Store,Electronics,10,219,20,shipped,paid,5,50,M3 5HB,1,FALSE,,,,,,
O009850,C01156,Chen Smith,chen.smith1156@example.com,02/07/2026,08/07/2026,South,Web,Home,7,64,15,shipped,paid,6,39,T9 6QJ,1,FALSE,,,,,,
O000263,C04129,Ngozi Nwosu,ngozi.nwosu4129@example.com,26/07/2026,31/07/2026,South,Web,Electronics,3,131,20,shipped,paid,5,39,WU6 2JU,1,FALSE,,,,,,
O003062,C04966,Mary King,mary.king4966@example.com,22/07/2026,23/07/2026,East,Web,Fashion,4,57,0,shipped,pending,1,52,A1 6UG,1,FALSE,,,,,,
O008176,C00171,Chloe Mensah,chloe.mensah171@example.com,30/07/2026,01/08/2026,North,Web,Beauty,12,13,15,cancelled,pending,2,20,BE5 2TQ,1,FALSE,,,,,,
O003747,C01447,Chloe Nwosu,chloe.nwosu1447@example.com,09/07/2026,10/07/2026,North,Phone,Fashion,12,34,15,shipped,paid,1,48,M4 2KV,1,FALSE,,,,,,
O005894,C04954,Amara Reyes,amara.reyes4954@example.com,27/07/2026,28/07/2026,South,Phone,Beauty,2,63,0,shipped,paid,1,66,B6 6LO,1,FALSE,,,,,,
O007458,C00116,Chloe Reyes,chloe.reyes116@example.com,11/07/2026,13/07/2026,North,Store,Electronics,12,186,5,shipped,paid,2,35,G6 2YX,1,FALSE,,,,,,
O000687,C03251,Daniel Khan,daniel.khan3251@example.com,14/07/2026,,South,Phone,Fashion,3,36,0,shipped,paid,7,36,WS1 6PT,1,TRUE,,,,,,
O006082,C01627,Mary Green,,25/07/2026,29/07/2026,East,Store,Electronics,8,130,10,shipped,paid,4,42,YX2 4QG,1,FALSE,,,,,,
O007603,C04370,Chloe Reyes,chloe.reyes4370@example.com,19/07/2026,26/07/2026,North,Phone,Fashion,12,51,15,shipped,paid,7,40,D3 6WJ,1,FALSE,,,,,,
O008655,C05210,Fatima Brown,fatima.brown5210@example.com,03/07/2026,07/07/2026,East,Store,Electronics,9,245,0,open,paid,4,55,H4 8NB,1,FALSE,,,,,,
O003009,C04472,Ivy Adeyemi,ivy.adeyemi4472@example.com,10/07/2026,15/07/2026,West,Store,Fashion,6,36,0,delivered,pending,5,49,F1 0EH,1,FALSE,,,,,,
O006731,C03581,Liam Owusu,liam.owusu3581@example.com,07/07/2026,09/07/2026,East,Web,Electronics,9,220,0,delivered,paid,2,46,GD3 9MX,1,FALSE,,,,,,
O005476,C01398,Chloe White,chloe.white1398@example.com,13/07/2026,16/07/2026,North,Phone,Beauty,12,67,0,open,paid,3,49,D7 4PP,1,FALSE,,,,,,
O001629,C05384,Helen Owusu,helen.owusu5384@example.com,26/07/2026,29/07/2026,South,Store,Electronics,10,227,15,open,paid,3,51,K7 4NW,1,FALSE,,,,,,
O001251,C03216,Omar Mensah,omar.mensah3216@example.com,05/07/2026,09/07/2026,South,Phone,Home,1,106,10,shipped,paid,4,33,A3 7ZE,1,FALSE,,,,,,
O009437,C03120,Paul James,paul.james3120@example.com,08/07/2026,14/07/2026,West,Phone,Beauty,2,16,0,shipped,paid,6,36,H9 6WX,1,FALSE,,,,,,
O000219,C03986,Zainab Carter,zainab.carter3986@example.com,08/07/2026,13/07/2026,West,Store,Home,5,46,15,cancelled,refund_pending,5,69,GD9 2VA,1,FALSE,,,,,,
O005529,C04822,Omar Khan,omar.khan4822@example.com,23/07/2026,24/07/2026,West,Phone,Beauty,3,16,0,delivered,paid,1,27,CR8 1GB,1,FALSE,,,,,,
O008079,C05496,Rita Stone,rita.stone5496@example.com,18/07/2026,25/07/2026,South,Phone,Home,7,54,10,delivered,paid,7,28,U6 5WM,1,FALSE,,,,,,
O002793,C02942,Kofi Ade,kofi.ade2942@example.com,16/07/2026,19/07/2026,South,Phone,Fashion,4,20,10,shipped,paid,3,62,AA8 2EE,1,FALSE,,,,,,
O004889,C02570,Leo Stone,,07/07/2026,13/07/2026,East,Phone,Electronics,12,256,5,delivered,paid,6,28,U6 2YT,1,FALSE,,,,,,
O006749,C05183,Kwame Ali,kwame.ali5183@example.com,29/07/2026,30/07/2026,West,Store,Home,5,51,20,shipped,paid,1,58,F6 5DN,1,FALSE,,,,,,
O008084,C00759,Ngozi Yusuf,ngozi.yusuf759@example.com,24/07/2026,29/07/2026,South,Web,Fashion,7,60,0,delivered,paid,5,48,GF1 3SH,1,FALSE,,,,,,
O002911,C03002,Tom Ade,tom.ade3002@example.com,19/07/2026,26/07/2026,,Phone,Electronics,9,202,20,open,pending,7,30,LW9 3WT,1,FALSE,,,,,,
O007560,C04149,Chloe Ali,chloe.ali4149@example.com,20/07/2026,27/07/2026,East,Store,Home,10,70,15,delivered,paid,7,64,XN6 6YT,1,FALSE,,,,,,
O009875,C01402,Daniel Green,daniel.green1402@example.com,10/07/2026,15/07/2026,North,Web,Fashion,12,17,0,shipped,paid,5,48,JM1 7DR,1,FALSE,,,,,,
O001487,C03001,Omar King,omar.king3001@example.com,08/07/2026,12/07/2026,,Phone,Home,5,103,5,shipped,paid,4,23,L3 4RL,1,FALSE,,,,,,
O000420,C02215,Yusuf Reyes,yusuf.reyes2215@example.com,19/07/2026,21/07/2026,East,Phone,Beauty,8,68,0,shipped,paid,2,56,F4 7RH,1,FALSE,,,,,,
O002774,C03558,Ruth Yusuf,ruth.yusuf3558@example.com,22/07/2026,27/07/2026,West,Phone,Home,11,6200,0,delivered,paid,5,50,GY8 1QG,1,FALSE,,,,,,
O000398,C01414,David Baker,david.baker1414,07/07/2026,13/07/2026,East,Store,Home,2,83,5,delivered,paid,6,39,V4 2DG,1,FALSE,,,,,,
O009942,C04405,Yusuf Farah,yusuf.farah4405@example.com,08/07/2026,10/07/2026,West,Phone,Beauty,5,12,0,shipped,paid,2,48,J6 3DG,1,FALSE,,,,,,
O005729,C05121,Robert Evans,robert.evans5121@example.com,11/07/2026,14/07/2026,South,Web,Electronics,1,50,15,shipped,paid,3,46,SH2 4XP,1,FALSE,,,,,,
O007529,C02301,Daniel Brown,daniel.brown2301@example.com,22/07/2026,27/07/2026,East,Phone,Fashion,3,54,0,delivered,paid,5,39,L4 7XR,1,FALSE,,,,,,
O008521,C04136,Daniel Stone,daniel.stone4136@example.com,14/07/2026,16/07/2026,North,Web,Electronics,12,110,20,shipped,paid,2,51,JL4 8EZ,1,FALSE,,,,,,
O002270,C04738,Helen Farah,helen.farah4738@example.com,04/07/2026,06/07/2026,East,Store,Home,5,21,0,shipped,paid,2,68,A8 7UW,1,FALSE,,,,,,
O001709,C01695,Amara King,amara.king1695@example.com,16/07/2026,22/07/2026,East,Web,Home,11,54,0,shipped,paid,6,49,M5 1YQ,1,FALSE,,,,,,
O002206,C04295,Daniel Stone,daniel.stone4295@example.com,24/07/2026,27/07/2026,North,Store,Home,12,37,0,shipped,paid,3,47,FY3 9VT,1,FALSE,,,,,,
O001153,C03554,Yusuf Carter,yusuf.carter3554@example.com,10/07/2026,13/07/2026,East,Phone,Electronics,9,245,10,shipped,paid,3,40,T1 5ZJ,1,FALSE,,,,,,
O005427,C02540,Kofi Baker,kofi.baker2540@example.com,14/07/2026,21/07/2026,South,Store,Fashion,5,21,20,delivered,paid,7,37,F7 7NJ,1,FALSE,,,,,,
O006902,C03985,Aisha Bello,aisha.bello3985@example.com,24/07/2026,30/07/2026,West,Store,Fashion,2,30,15,cancelled,refund_pending,6,32,R4 3FM,1,FALSE,,,,,,
O009052,C01959,Tom Farah,tom.farah1959@example.com,04/07/2026,10/07/2026,East,Store,Home,3,120,0,cancelled,refund_pending,6,56,M6 1KC,1,FALSE,,,,,,
O002655,C02448,Ngozi Noor,ngozi.noor2448@example.com,28/07/2026,03/08/2026,South,Web,Beauty,1,70,0,delivered,paid,6,30,BR4 2DW,1,FALSE,,,,,,
O000624,C04064,Lina Ali,lina.ali4064@example.com,21/07/2026,27/07/2026,,Phone,Electronics,3,79,10,shipped,paid,6,25,EC6 5FQ,1,FALSE,,,,,,
O008568,C04547,Amara Adeyemi,amara.adeyemi4547@example.com,15/07/2026,18/07/2026,,Phone,Electronics,6,78,0,returned,paid,3,67,T1 2GX,1,FALSE,,,,,,
O001692,C00951,Amara Ade,amara.ade951@example.com,13/07/2026,17/07/2026,South,Web,Home,3,4500,0,delivered,paid,4,51,F3 1UW,1,FALSE,,,,,,
O005401,C03076,Fatima Evans,fatima.evans3076@example.com,05/07/2026,07/07/2026,West,Phone,Electronics,12,248,0,shipped,paid,2,46,GU3 3GW,1,FALSE,,,,,,
O002564,C02572,Aisha Brown,,29/07/2026,02/08/2026,South,Phone,Fashion,12,56,5,cancelled,pending,4,67,R5 0UG,1,FALSE,,,,,,
O002828,C04231,Hana Li,hana.li4231@example.com,22/07/2026,26/07/2026,East,Phone,Home,11,102,0,shipped,paid,4,26,N1 1HC,1,FALSE,,,,,,
O005022,C05172,Chloe Mensah,chloe.mensah5172@example.com,22/07/2026,26/07/2026,East,Store,Home,7,100,0,cancelled,refund_pending,4,58,X9 8VE,1,FALSE,,,,,,
O005496,C03828,Ruth Ade,ruth.ade3828@example.com,08/07/2026,14/07/2026,West,Web,Beauty,9,61,5,returned,refund_pending,6,20,U3 0HQ,1,FALSE,,,,,,
O000839,C02931,Daniel Yusuf,daniel.yusuf2931@example.com,27/07/2026,01/08/2026,North,Phone,Home,12,88,10,open,pending,5,52,RF7 7EW,1,FALSE,,,,,,
O000367,C00035,Lina Okafor,lina.okafor35@example.com,20/07/2026,22/07/2026,South,Store,Beauty,1,43,20,delivered,paid,2,58,CF1 7ZA,1,FALSE,,,,,,
O006624,C01638,Lina Bello,lina.bello1638@example.com,21/07/2026,24/07/2026,South,Phone,Home,7,46,5,shipped,paid,3,21,D6 1HT,1,FALSE,,,,,,
O004899,C02396,David Ade,david.ade2396@example.com,04/07/2026,07/07/2026,North,Phone,Electronics,12,273,10,open,pending,3,70,J2 1RW,1,FALSE,,,,,,
O001093,C02657,Leo Diallo,leo.diallo2657@example.com,26/07/2026,31/07/2026,,Phone,Beauty,6,65,0,shipped,paid,5,47,BA4 7UT,1,FALSE,,,,,,
O005144,C01889,Chloe King,chloe.king1889@example.com,16/07/2026,23/07/2026,South,Web,Electronics,9,46,0,shipped,paid,7,24,M9 0OP,1,FALSE,,,,,,
O000454,C04341,Ruth Ali,ruth.ali4341@example.com,02/07/2026,06/07/2026,West,Phone,Beauty,3,48,0,shipped,paid,4,32,M8 8MY,1,FALSE,,,,,,
O000419,C03705,Ella Farah,ella.farah3705@example.com,20/07/2026,22/07/2026,South,Phone,Electronics,7,94,15,cancelled,pending,2,68,RN8 1HP,1,FALSE,,,,,,
O000600,C03740,Rita Ade,rita.ade3740@example.com,27/07/2026,03/08/2026,West,Store,Beauty,9,25,10,open,paid,7,67,B1 1VP,1,FALSE,,,,,,
O002969,C05363,David Mensah,david.mensah5363@example.com,02/07/2026,03/07/2026,South,Store,Fashion,2,32,0,shipped,paid,1,36,EW6 3WX,1,FALSE,,,,,,
O003453,C01414,David Baker,david.baker1414@example.com,13/07/2026,19/07/2026,North,Store,Beauty,12,40,5,open,paid,6,33,V4 2DG,1,FALSE,,,,,,
O009570,C02654,Leo Ibrahim,leo.ibrahim2654@example.com,15/07/2026,20/07/2026,South,Phone,Electronics,6,115,10,shipped,paid,5,32,G3 1VB,1,FALSE,,,,,,
O004753,C00538,Chloe Adeyemi,chloe.adeyemi538@example.com,06/07/2026,12/07/2026,East,Store,Beauty,7,33,10,shipped,paid,6,19,VU4 2PS,1,FALSE,,,,,,
O009452,C02708,Yusuf Mensah,yusuf.mensah2708@example.com,20/07/2026,22/07/2026,West,Web,Home,3,21,10,cancelled,pending,2,47,C9 9KF,1,FALSE,,,,,,
O005350,C05040,Fatima Cole,fatima.cole5040@example.com,06/07/2026,08/07/2026,South,Phone,Home,12,107,0,shipped,paid,2,18,G3 2EJ,1,FALSE,,,,,,
O000028,C02064,Chloe Carter,chloe.carter2064@example.com,12/07/2026,17/07/2026,East,Store,Home,4,46,0,shipped,paid,5,55,D1 4ZP,1,FALSE,,,,,,
O001710,C05246,Ben Bello,ben.bello5246@example.com,13/07/2026,16/07/2026,West,Store,Beauty,8,32,15,shipped,paid,3,24,R4 8FP,1,FALSE,,,,,,
O001062,C03907,Robert Diallo,robert.diallo3907@@example.com,05/07/2026,08/07/2026,East,Store,Electronics,10,41,0,delivered,paid,3,28,O2 3MH,1,FALSE,,,,,,
O000003,C00993,Chen Brown,chen.brown993@example.com,04/07/2026,06/07/2026,South,Store,Electronics,6,191,20,shipped,paid,2,33,C7 9KZ,1,FALSE,,,,,,
O000592,C00771,David Baker,david.baker771@example.com,03/07/2026,06/07/2026,East,Store,Electronics,7,183,0,shipped,pending,3,59,VM9 3VK,1,FALSE,,,,,,
O006315,C01171,David Diallo,david.diallo1171@example.com,20/07/2026,22/07/2026,North,Web,Beauty,12,56,0,shipped,paid,2,49,PJ4 2RC,1,FALSE,,,,,,
O002784,C01976,Zainab Smith,zainab.smith1976@example.com,28/07/2026,04/08/2026,South,Phone,Home,7,103,0,shipped,pending,7,57,D8 1HW,1,FALSE,,,,,,
O004022,C03932,Femi Yusuf,femi.yusuf3932@example.com,26/07/2026,28/07/2026,West,Phone,Home,5,22,15,shipped,paid,2,43,U4 4WU,1,FALSE,,,,,,
O002878,C05437,Robert Nwosu,robert.nwosu5437@example.com,12/07/2026,17/07/2026,West,Web,Fashion,6,27,5,cancelled,refund_pending,5,20,KT2 4AR,1,FALSE,,,,,,
O009504,C02378,Aisha Mensah,aisha.mensah2378@example.com,02/07/2026,09/07/2026,South,Web,Home,3,44,0,shipped,paid,7,27,H8 1ZA,1,FALSE,,,,,,
O000523,C02199,Zainab Evans,zainab.evans2199@example.com,14/07/2026,19/07/2026,East,Store,Beauty,6,57,0,cancelled,refund_pending,5,67,C7 4UP,1,FALSE,,,,,,
O009224,C02181,Nadia Ali,nadia.ali2181@example.com,21/07/2026,28/07/2026,West,Phone,Electronics,10,84,20,shipped,paid,7,53,PY5 3WS,1,FALSE,,,,,,
O006648,C04923,David King,david.king4923@example.com,16/07/2026,20/07/2026,North,Store,Fashion,12,34,15,shipped,paid,4,64,CP7 1GV,1,FALSE,,,,,,
O008300,C00912,David Stone,david.stone912@example.com,21/07/2026,23/07/2026,North,Phone,Electronics,12,247,5,shipped,paid,2,62,WN5 1ZV,1,FALSE,,,,,,
O003759,C02933,Ella Evans,ella.evans2933@example.com,14/07/2026,20/07/2026,North,Store,Home,12,102,10,shipped,paid,6,55,S9 1CE,1,FALSE,,,,,,
O009502,C02554,Ella Green,ella.green2554@example.com,26/07/2026,31/07/2026,North,Web,Electronics,12,75,0,shipped,paid,5,40,RN2 1SF,1,FALSE,,,,,,
O007159,C04560,Femi Khan,femi.khan4560@example.com,07/07/2026,08/07/2026,West,Web,Beauty,8,63,0,shipped,paid,1,52,P9 4DK,1,FALSE,,,,,,
O002566,C00374,Marcus Brown,marcus.brown374@example.com,25/07/2026,31/07/2026,South,Phone,Fashion,4,53,15,shipped,paid,6,18,L6 3OO,2,FALSE,,,,,,
O007489,C02125,Leo Osei,leo.osei2125@example.com,16/07/2026,23/07/2026,South,Web,Electronics,5,270,5,shipped,paid,7,42,CV2 3YP,1,FALSE,,,,,,
O007475,C01706,Ella Stone,ella.stone1706@example.com,14/07/2026,21/07/2026,North,Store,Fashion,12,18,0,returned,refund_pending,7,53,B1 0FW,1,FALSE,,,,,,
O001035,C00805,Femi Smith,femi.smith805@example.com,17/07/2026,22/07/2026,South,Store,Electronics,11,79,5,shipped,paid,5,44,K4 0RN,1,FALSE,,,,,,
O004031,C05040,Fatima Cole,fatima.cole5040@example.com,07/07/2026,09/07/2026,North,Web,Home,12,51,20,shipped,paid,2,65,G3 2EJ,2,FALSE,,,,,,
O004031,C05040,Fatima Cole,fatima.cole5040@example.com,07/07/2026,09/07/2026,North,Web,Home,12,51,20,shipped,paid,2,65,G3 2EJ,2,FALSE,,,,,,
O006953,C02735,Fatima Ibrahim,fatima.ibrahim2735@example.com,23/07/2026,26/07/2026,North,Web,Beauty,12,26,15,open,paid,3,67,LY5 2SB,1,FALSE,,,,,,
O000974,C03312,Lina Evans,lina.evans3312@example.com,21/07/2026,23/07/2026,East,Phone,Electronics,1,161,0,delivered,paid,2,40,OU2 0RK,1,FALSE,,,,,,
O009014,C00251,Fatima James,fatima.james251@example.com,09/07/2026,13/07/2026,North,Store,Home,12,79,5,shipped,paid,4,31,X8 4WB,1,FALSE,,,,,,
